PLANTA,TEMPORADA,F. BATCH,%SP+P
CHIMBOTE,2025 - I,03/05/2025,14 %
CHIMBOTE,2025 - I,04/05/2025,14 %
CHIMBOTE,2025 - I,05/05/2025,17 %
CHIMBOTE,2025 - I,06/05/2025,20 %
CHIMBOTE,2025 - I,07/05/2025,15 %
CHIMBOTE,2025 - I,08/05/2025,35 %
CHIMBOTE,2025 - I,09/05/2025,25 %
CHIMBOTE,2025 - I,10/05/2025,0 %
CHIMBOTE,2025 - I,11/05/2025,21 %
CHIMBOTE,2025 - I,12/05/2025,18 %
CHIMBOTE,2025 - I,13/05/2025,19 %
CHIMBOTE,2025 - I,14/05/2025,10 %
CHIMBOTE,2025 - I,15/05/2025,54 %
CHIMBOTE,2025 - I,16/05/2025,53 %
CHIMBOTE,2025 - I,17/05/2025,0 %
CHIMBOTE,2025 - I,18/05/2025,0 %
CHIMBOTE,2025 - I,19/05/2025,39 %
CHIMBOTE,2025 - I,20/05/2025,39 %
CHIMBOTE,2025 - I,21/05/2025,47 %
CHIMBOTE,2025 - I,22/05/2025,34 %
CHIMBOTE,2025 - I,23/05/2025,0 %
CHIMBOTE,2025 - I,27/05/2025,14 %
CHIMBOTE,2025 - I,28/05/2025,0 %
CHIMBOTE,2025 - I,31/05/2025,0 %
CHIMBOTE,2025 - I,02/06/2025,0 %
CHIMBOTE,2025 - I,03/06/2025,0 %
CHIMBOTE,2025 - I,04/06/2025,0 %
CHIMBOTE,2025 - I,11/06/2025,4 %
CHIMBOTE,2025 - I,12/06/2025,0 %
CHIMBOTE,2025 - I,26/06/2025,0 %
CHIMBOTE,2025 - I,01/07/2025,42 %
CHIMBOTE,2025 - I,02/07/2025,0 %
CHIMBOTE,2025 - I,03/07/2025,0 %
CHIMBOTE,2025 - I,04/07/2025,0 %
CHIMBOTE,2025 - I,07/07/2025,0 %
CHIMBOTE,2025 - I,15/07/2025,0 %
CHIMBOTE,2025 - I,16/07/2025,0 %
CHIMBOTE,2025 - I,17/07/2025,0 %
CHIMBOTE,2025 - I,18/07/2025,0 %
CHIMBOTE,2025 - I,19/07/2025,0 %
CHIMBOTE,2025 - I,20/07/2025,0 %
CHIMBOTE,2025 - I,22/07/2025,24 %
CHIMBOTE,2025 - I,23/07/2025,0 %
CHIMBOTE,2025 - II,07/11/2025,4 %
CHIMBOTE,2025 - II,08/11/2025,18 %
CHIMBOTE,2025 - II,09/11/2025,24 %
CHIMBOTE,2025 - II,10/11/2025,1 %
CHIMBOTE,2025 - II,11/11/2025,0 %
CHIMBOTE,2025 - II,12/11/2025,6 %
CHIMBOTE,2025 - II,13/11/2025,0 %
CHIMBOTE,2025 - II,14/11/2025,0 %
CHIMBOTE,2025 - II,15/11/2025,0 %
CHIMBOTE,2025 - II,16/11/2025,7 %
CHIMBOTE,2025 - II,17/11/2025,2 %
CHIMBOTE,2025 - II,18/11/2025,4 %
CHIMBOTE,2025 - II,19/11/2025,0 %
