PLANTA,TEMPORADA,F. BATCH,%SP+P
PISCO SUR,2025 - I,22/06/2025,59 %
PISCO SUR,2025 - I,23/06/2025,49 %
PISCO SUR,2025 - I,24/06/2025,54 %
PISCO SUR,2025 - I,25/06/2025,3 %
PISCO SUR,2025 - I,26/06/2025,0 %
PISCO SUR,2025 - I,01/07/2025,18 %
PISCO SUR,2025 - I,02/07/2025,0 %
PISCO SUR,2025 - I,03/07/2025,10 %
PISCO SUR,2025 - I,04/07/2025,56 %
PISCO SUR,2025 - I,05/07/2025,47 %
PISCO SUR,2025 - I,06/07/2025,67 %
PISCO SUR,2025 - I,07/07/2025,57 %
PISCO SUR,2025 - I,08/07/2025,81 %
PISCO SUR,2025 - I,09/07/2025,0 %
PISCO SUR,2025 - I,10/07/2025,0 %
PISCO SUR,2025 - I,11/07/2025,0 %
PISCO SUR,2025 - II,07/11/2025,70 %
PISCO SUR,2025 - II,08/11/2025,0 %
PISCO SUR,2025 - II,09/11/2025,8 %
PISCO SUR,2025 - II,10/11/2025,0 %
PISCO SUR,2025 - II,11/11/2025,0 %
PISCO SUR,2025 - II,12/11/2025,0 %
PISCO SUR,2025 - II,13/11/2025,0 %
PISCO SUR,2025 - II,14/11/2025,0 %
PISCO SUR,2025 - II,03/12/2025,0 %
PISCO SUR,2025 - II,04/12/2025,0 %
PISCO SUR,2025 - II,07/12/2025,0 %
PISCO SUR,2025 - II,13/12/2025,0 %
PISCO SUR,2025 - II,14/12/2025,0 %
PISCO SUR,2025 - II,15/12/2025,37 %
PISCO SUR,2025 - II,16/12/2025,63 %
PISCO SUR,2025 - II,17/12/2025,14 %
PISCO SUR,2025 - II,18/12/2025,0 %
PISCO SUR,2025 - II,19/12/2025,0 %
PISCO SUR,2025 - II,20/12/2025,0 %
PISCO SUR,2025 - II,21/12/2025,0 %
PISCO SUR,2025 - II,22/12/2025,0 %
PISCO SUR,2025 - II,27/12/2025,0 %
PISCO SUR,2025 - II,28/12/2025,0 %
PISCO SUR,2025 - II,29/12/2025,0 %
PISCO SUR,2025 - II,30/12/2025,0 %
PISCO SUR,2026 - I,09/04/2026,8 %
PISCO SUR,2026 - I,10/04/2026,0 %
PISCO SUR,2026 - I,11/04/2026,0 %
PISCO SUR,2026 - I,12/04/2026,0 %
PISCO SUR,2026 - I,13/04/2026,0 %
PISCO SUR,2026 - I,14/04/2026,0 %
PISCO SUR,2026 - I,15/04/2026,0 %
PISCO SUR,2026 - I,16/04/2026,0 %
PISCO SUR,2026 - I,17/04/2026,0 %
PISCO SUR,2026 - I,18/04/2026,0 %
PISCO SUR,2026 - I,19/04/2026,20 %
PISCO SUR,2026 - I,22/04/2026,54 %
PISCO SUR,2026 - I,23/04/2026,0 %
PISCO SUR,2026 - I,24/04/2026,60 %
