PLANTA,TEMPORADA,F. BATCH,%SP+PNIR
SAMANCO,2024 - I,23/05/2024,54 %
SAMANCO,2024 - I,24/05/2024,25 %
SAMANCO,2024 - I,26/05/2024,41 %
SAMANCO,2024 - I,27/05/2024,14 %
SAMANCO,2024 - I,28/05/2024,73 %
SAMANCO,2024 - I,29/05/2024,32 %
SAMANCO,2024 - I,30/05/2024,7 %
SAMANCO,2024 - I,31/05/2024,9 %
SAMANCO,2024 - I,01/06/2024,54 %
SAMANCO,2024 - I,02/06/2024,51 %
SAMANCO,2024 - I,03/06/2024,43 %
SAMANCO,2024 - I,04/06/2024,56 %
SAMANCO,2024 - I,05/06/2024,34 %
SAMANCO,2024 - I,06/06/2024,50 %
SAMANCO,2024 - II,05/11/2024,26 %
SAMANCO,2024 - II,06/11/2024,0 %
SAMANCO,2024 - II,07/11/2024,100 %
SAMANCO,2024 - II,08/11/2024,62 %
SAMANCO,2024 - II,09/11/2024,21 %
SAMANCO,2024 - II,10/11/2024,49 %
SAMANCO,2024 - II,11/11/2024,46 %
SAMANCO,2024 - II,12/11/2024,87 %
SAMANCO,2024 - II,13/11/2024,31 %
SAMANCO,2024 - II,14/11/2024,52 %
SAMANCO,2024 - II,15/11/2024,44 %
SAMANCO,2024 - II,16/11/2024,48 %
SAMANCO,2024 - II,17/11/2024,41 %
SAMANCO,2024 - II,18/11/2024,47 %
SAMANCO,2024 - II,19/11/2024,40 %
SAMANCO,2024 - II,20/11/2024,34 %
SAMANCO,2024 - II,21/11/2024,67 %
SAMANCO,2024 - II,22/11/2024,7 %
SAMANCO,2024 - II,23/11/2024,36 %
SAMANCO,2024 - II,24/11/2024,0 %
SAMANCO,2024 - II,25/11/2024,90 %
SAMANCO,2024 - II,26/11/2024,60 %
SAMANCO,2024 - II,27/11/2024,24 %
SAMANCO,2024 - II,03/12/2024,8 %
SAMANCO,2024 - II,04/12/2024,0 %
SAMANCO,2024 - II,07/12/2024,100 %
SAMANCO,2024 - II,08/12/2024,32 %
SAMANCO,2024 - II,09/12/2024,79 %
SAMANCO,2024 - II,12/12/2024,10 %
SAMANCO,2024 - II,13/12/2024,7 %
SAMANCO,2024 - II,14/12/2024,16 %
SAMANCO,2024 - II,16/12/2024,25 %
SAMANCO,2024 - II,17/12/2024,56 %
SAMANCO,2024 - II,19/12/2024,0 %
SAMANCO,2024 - II,20/12/2024,4 %
SAMANCO,2024 - II,21/12/2024,37 %
SAMANCO,2024 - II,22/12/2024,10 %
SAMANCO,2024 - II,23/12/2024,33 %
SAMANCO,2024 - II,26/12/2024,45 %
SAMANCO,2024 - II,27/12/2024,31 %
SAMANCO,2024 - II,30/12/2024,45 %
SAMANCO,2024 - II,01/01/2025,0 %
SAMANCO,2024 - II,02/01/2025,0 %
SAMANCO,2024 - II,03/01/2025,0 %
SAMANCO,2024 - II,05/01/2025,0 %
SAMANCO,2024 - II,06/01/2025,27 %
SAMANCO,2024 - II,07/01/2025,4 %
SAMANCO,2024 - II,08/01/2025,0 %
SAMANCO,2024 - II,09/01/2025,9 %
SAMANCO,2024 - II,11/01/2025,16 %
SAMANCO,2024 - II,12/01/2025,28 %
SAMANCO,2024 - II,13/01/2025,39 %
SUPE,2021 - I,30/04/2021,45 %
SUPE,2021 - I,01/05/2021,60 %
SUPE,2021 - I,03/05/2021,73 %
SUPE,2021 - I,04/05/2021,12 %
SUPE,2021 - I,05/05/2021,23 %
SUPE,2021 - I,06/05/2021,34 %
SUPE,2021 - I,07/05/2021,36 %
SUPE,2021 - I,08/05/2021,68 %
SUPE,2021 - I,09/05/2021,23 %
SUPE,2021 - I,10/05/2021,42 %
SUPE,2021 - I,11/05/2021,33 %
SUPE,2021 - I,14/05/2021,80 %
SUPE,2021 - I,23/05/2021,100 %
SUPE,2021 - I,24/05/2021,87 %
SUPE,2021 - I,25/05/2021,100 %
SUPE,2021 - I,30/05/2021,68 %
SUPE,2021 - I,03/06/2021,100 %
SUPE,2021 - I,04/06/2021,100 %
SUPE,2021 - II,15/11/2021,88 %
SUPE,2021 - II,16/11/2021,79 %
SUPE,2021 - II,17/11/2021,100 %
SUPE,2021 - II,18/11/2021,83 %
SUPE,2021 - II,19/11/2021,61 %
SUPE,2021 - II,20/11/2021,93 %
SUPE,2021 - II,21/11/2021,100 %
SUPE,2021 - II,22/11/2021,93 %
SUPE,2021 - II,23/11/2021,65 %
SUPE,2021 - II,24/11/2021,84 %
SUPE,2021 - II,25/11/2021,89 %
SUPE,2021 - II,26/11/2021,35 %
SUPE,2021 - II,27/11/2021,63 %
SUPE,2021 - II,28/11/2021,69 %
SUPE,2021 - II,29/11/2021,96 %
SUPE,2021 - II,01/12/2021,48 %
SUPE,2021 - II,02/12/2021,75 %
SUPE,2021 - II,03/12/2021,90 %
SUPE,2021 - II,04/12/2021,67 %
SUPE,2021 - II,05/12/2021,100 %
SUPE,2021 - II,06/12/2021,67 %
SUPE,2021 - II,07/12/2021,65 %
SUPE,2021 - II,08/12/2021,100 %
SUPE,2021 - II,09/12/2021,100 %
SUPE,2021 - II,10/12/2021,100 %
SUPE,2021 - II,11/12/2021,100 %
SUPE,2021 - II,12/12/2021,100 %
SUPE,2021 - II,13/12/2021,100 %
SUPE,2021 - II,15/12/2021,100 %
SUPE,2021 - II,16/12/2021,27 %
SUPE,2021 - II,17/12/2021,36 %
SUPE,2022 - I,05/05/2022,38 %
SUPE,2022 - I,06/05/2022,57 %
SUPE,2022 - I,07/05/2022,63 %
SUPE,2022 - I,08/05/2022,58 %
SUPE,2022 - I,11/05/2022,66 %
SUPE,2022 - I,12/05/2022,57 %
SUPE,2022 - I,13/05/2022,14 %
SUPE,2022 - I,14/05/2022,24 %
SUPE,2022 - I,16/05/2022,30 %
SUPE,2022 - I,17/05/2022,0 %
SUPE,2022 - I,19/05/2022,9 %
SUPE,2022 - I,21/05/2022,21 %
SUPE,2022 - I,22/05/2022,0 %
SUPE,2022 - I,23/05/2022,0 %
SUPE,2022 - I,24/05/2022,0 %
SUPE,2022 - I,26/05/2022,14 %
SUPE,2022 - I,27/05/2022,86 %
SUPE,2022 - I,28/05/2022,26 %
SUPE,2022 - I,29/05/2022,100 %
SUPE,2022 - I,30/05/2022,57 %
SUPE,2022 - I,31/05/2022,20 %
SUPE,2022 - I,01/06/2022,93 %
SUPE,2022 - I,02/06/2022,66 %
SUPE,2022 - I,03/06/2022,35 %
SUPE,2022 - I,09/06/2022,47 %
SUPE,2022 - I,10/06/2022,100 %
SUPE,2022 - I,11/06/2022,100 %
SUPE,2022 - I,12/06/2022,67 %
SUPE,2022 - I,13/06/2022,98 %
SUPE,2022 - I,15/06/2022,67 %
SUPE,2022 - I,16/06/2022,96 %
SUPE,2022 - I,17/06/2022,25 %
SUPE,2022 - I,18/06/2022,72 %
SUPE,2022 - I,19/06/2022,45 %
SUPE,2022 - I,20/06/2022,50 %
SUPE,2022 - I,21/06/2022,75 %
SUPE,2022 - I,22/06/2022,79 %
SUPE,2022 - I,02/07/2022,78 %
SUPE,2022 - I,03/07/2022,94 %
SUPE,2022 - I,05/07/2022,100 %
SUPE,2022 - I,06/07/2022,100 %
SUPE,2022 - I,07/07/2022,69 %
SUPE,2022 - I,09/07/2022,100 %
SUPE,2022 - I,11/07/2022,78 %
SUPE,2022 - II,23/11/2022,64 %
SUPE,2022 - II,26/11/2022,100 %
SUPE,2022 - II,28/11/2022,100 %
SUPE,2022 - II,30/11/2022,45 %
SUPE,2022 - II,04/12/2022,22 %
SUPE,2022 - II,05/12/2022,94 %
SUPE,2022 - II,06/12/2022,78 %
SUPE,2022 - II,08/12/2022,69 %
SUPE,2022 - II,09/12/2022,100 %
SUPE,2022 - II,10/12/2022,100 %
SUPE,2022 - II,12/12/2022,48 %
SUPE,2022 - II,14/12/2022,39 %
SUPE,2022 - II,15/12/2022,10 %
SUPE,2022 - II,16/12/2022,5 %
SUPE,2022 - II,17/12/2022,28 %
SUPE,2022 - II,18/12/2022,24 %
SUPE,2022 - II,19/12/2022,86 %
SUPE,2022 - II,20/12/2022,30 %
SUPE,2022 - II,21/12/2022,0 %
SUPE,2022 - II,22/12/2022,0 %
SUPE,2022 - II,27/12/2022,100 %
SUPE,2022 - II,29/12/2022,81 %
SUPE,2022 - II,30/12/2022,69 %
SUPE,2022 - II,02/01/2023,48 %
SUPE,2022 - II,14/01/2023,0 %
SUPE,2023 - II,21/10/2023,28 %
SUPE,2023 - II,22/10/2023,16 %
SUPE,2023 - II,25/10/2023,100 %
SUPE,2023 - II,26/10/2023,100 %
SUPE,2023 - II,31/10/2023,54 %
SUPE,2023 - II,01/11/2023,80 %
SUPE,2023 - II,02/11/2023,88 %
SUPE,2023 - II,03/11/2023,42 %
SUPE,2023 - II,05/11/2023,17 %
SUPE,2023 - II,06/11/2023,42 %
SUPE,2023 - II,07/11/2023,30 %
SUPE,2023 - II,08/11/2023,41 %
SUPE,2023 - II,09/11/2023,0 %
SUPE,2023 - II,11/11/2023,30 %
SUPE,2023 - II,12/11/2023,0 %
SUPE,2023 - II,13/11/2023,32 %
SUPE,2023 - II,14/11/2023,85 %
SUPE,2023 - II,15/11/2023,100 %
SUPE,2023 - II,21/11/2023,85 %
SUPE,2023 - II,22/11/2023,100 %
SUPE,2023 - II,23/11/2023,28 %
SUPE,2023 - II,28/11/2023,100 %
SUPE,2023 - II,30/11/2023,100 %
SUPE,2023 - II,01/12/2023,65 %
SUPE,2024 - I,17/04/2024,0 %
SUPE,2024 - I,19/04/2024,0 %
SUPE,2024 - I,24/04/2024,25 %
SUPE,2024 - I,25/04/2024,37 %
SUPE,2024 - I,27/04/2024,59 %
SUPE,2024 - I,28/04/2024,100 %
SUPE,2024 - I,29/04/2024,42 %
SUPE,2024 - I,30/04/2024,100 %
SUPE,2024 - I,01/05/2024,40 %
SUPE,2024 - I,02/05/2024,37 %
SUPE,2024 - I,03/05/2024,0 %
SUPE,2024 - I,04/05/2024,0 %
SUPE,2024 - I,05/05/2024,55 %
SUPE,2024 - I,06/05/2024,0 %
SUPE,2024 - I,07/05/2024,27 %
SUPE,2024 - I,08/05/2024,52 %
SUPE,2024 - I,09/05/2024,0 %
SUPE,2024 - I,10/05/2024,39 %
SUPE,2024 - I,11/05/2024,62 %
SUPE,2024 - I,12/05/2024,0 %
SUPE,2024 - I,14/05/2024,73 %
SUPE,2024 - I,15/05/2024,94 %
SUPE,2024 - I,19/05/2024,99 %
SUPE,2024 - I,20/05/2024,59 %
SUPE,2024 - I,21/05/2024,37 %
SUPE,2024 - I,22/05/2024,84 %
SUPE,2024 - I,23/05/2024,41 %
SUPE,2024 - I,24/05/2024,96 %
SUPE,2024 - I,25/05/2024,64 %
SUPE,2024 - I,26/05/2024,18 %
SUPE,2024 - I,27/05/2024,0 %
SUPE,2024 - I,28/05/2024,81 %
SUPE,2024 - I,29/05/2024,100 %
SUPE,2024 - I,30/05/2024,95 %
SUPE,2024 - I,31/05/2024,22 %
SUPE,2024 - I,04/06/2024,73 %
SUPE,2024 - II,01/11/2024,100 %
SUPE,2024 - II,02/11/2024,100 %
SUPE,2024 - II,03/11/2024,100 %
SUPE,2024 - II,04/11/2024,100 %
SUPE,2024 - II,05/11/2024,86 %
SUPE,2024 - II,08/11/2024,98 %
SUPE,2024 - II,10/11/2024,63 %
SUPE,2024 - II,11/11/2024,71 %
SUPE,2024 - II,12/11/2024,65 %
SUPE,2024 - II,13/11/2024,77 %
SUPE,2024 - II,14/11/2024,33 %
SUPE,2024 - II,15/11/2024,48 %
SUPE,2024 - II,16/11/2024,0 %
SUPE,2024 - II,17/11/2024,0 %
SUPE,2024 - II,23/11/2024,66 %
SUPE,2024 - II,24/11/2024,96 %
SUPE,2024 - II,09/12/2024,32 %
SUPE,2024 - II,13/12/2024,44 %
SUPE,2024 - II,15/12/2024,64 %
SUPE,2024 - II,17/12/2024,100 %
SUPE,2024 - II,18/12/2024,100 %
SUPE,2024 - II,23/12/2024,89 %
SUPE,2024 - II,27/12/2024,73 %
SUPE,2024 - II,30/12/2024,59 %
SUPE,2024 - II,31/12/2024,11 %
SUPE,2024 - II,05/01/2025,100 %
SUPE,2024 - II,06/01/2025,47 %
SUPE,2024 - II,07/01/2025,69 %
SUPE,2024 - II,08/01/2025,80 %
SUPE,2024 - II,09/01/2025,100 %
SUPE,2024 - II,10/01/2025,56 %
SUPE,2024 - II,11/01/2025,100 %
SUPE,2024 - II,12/01/2025,70 %
SUPE,2024 - II,13/01/2025,51 %
SUPE,2024 - II,14/01/2025,0 %
SUPE,2024 - II,15/01/2025,0 %
SUPE,2024 - II,16/01/2025,55 %
SUPE,2024 - II,17/01/2025,73 %
VEGUETA,2021 - I,30/04/2021,57 %
VEGUETA,2021 - I,01/05/2021,71 %
VEGUETA,2021 - I,02/05/2021,64 %
VEGUETA,2021 - I,03/05/2021,82 %
VEGUETA,2021 - I,04/05/2021,55 %
VEGUETA,2021 - I,05/05/2021,53 %
VEGUETA,2021 - I,06/05/2021,74 %
VEGUETA,2021 - I,07/05/2021,63 %
VEGUETA,2021 - I,08/05/2021,54 %
VEGUETA,2021 - I,09/05/2021,36 %
VEGUETA,2021 - I,10/05/2021,34 %
VEGUETA,2021 - I,11/05/2021,68 %
VEGUETA,2021 - I,12/05/2021,66 %
VEGUETA,2021 - I,13/05/2021,86 %
VEGUETA,2021 - I,14/05/2021,69 %
VEGUETA,2021 - I,15/05/2021,92 %
VEGUETA,2021 - I,16/05/2021,78 %
VEGUETA,2021 - I,18/05/2021,57 %
VEGUETA,2021 - I,22/05/2021,100 %
VEGUETA,2021 - I,23/05/2021,90 %
VEGUETA,2021 - I,24/05/2021,66 %
VEGUETA,2021 - I,28/05/2021,99 %
VEGUETA,2021 - I,29/05/2021,100 %
VEGUETA,2021 - I,30/05/2021,83 %
VEGUETA,2021 - I,03/06/2021,39 %
VEGUETA,2021 - I,04/06/2021,60 %
VEGUETA,2021 - I,05/06/2021,100 %
VEGUETA,2021 - I,06/06/2021,68 %
VEGUETA,2021 - I,07/06/2021,100 %
VEGUETA,2021 - I,09/06/2021,100 %
VEGUETA,2021 - I,10/06/2021,100 %
VEGUETA,2021 - I,16/06/2021,100 %
VEGUETA,2021 - I,17/06/2021,91 %
VEGUETA,2021 - I,18/06/2021,31 %
VEGUETA,2021 - I,23/06/2021,45 %
VEGUETA,2021 - I,03/07/2021,35 %
VEGUETA,2021 - I,05/07/2021,87 %
VEGUETA,2021 - II,15/11/2021,0 %
VEGUETA,2021 - II,17/11/2021,76 %
VEGUETA,2021 - II,18/11/2021,100 %
VEGUETA,2021 - II,19/11/2021,51 %
VEGUETA,2021 - II,20/11/2021,71 %
VEGUETA,2021 - II,21/11/2021,97 %
VEGUETA,2021 - II,22/11/2021,83 %
VEGUETA,2021 - II,23/11/2021,38 %
VEGUETA,2021 - II,24/11/2021,78 %
VEGUETA,2021 - II,25/11/2021,84 %
VEGUETA,2021 - II,26/11/2021,20 %
VEGUETA,2021 - II,27/11/2021,60 %
VEGUETA,2021 - II,28/11/2021,52 %
VEGUETA,2021 - II,29/11/2021,42 %
VEGUETA,2021 - II,30/11/2021,0 %
VEGUETA,2021 - II,01/12/2021,23 %
VEGUETA,2021 - II,02/12/2021,28 %
VEGUETA,2021 - II,03/12/2021,22 %
VEGUETA,2021 - II,04/12/2021,79 %
VEGUETA,2021 - II,05/12/2021,100 %
VEGUETA,2021 - II,06/12/2021,70 %
VEGUETA,2021 - II,07/12/2021,84 %
VEGUETA,2021 - II,08/12/2021,91 %
VEGUETA,2021 - II,09/12/2021,100 %
VEGUETA,2021 - II,10/12/2021,80 %
VEGUETA,2021 - II,11/12/2021,100 %
VEGUETA,2021 - II,12/12/2021,100 %
VEGUETA,2021 - II,13/12/2021,100 %
VEGUETA,2021 - II,14/12/2021,82 %
VEGUETA,2021 - II,15/12/2021,83 %
VEGUETA,2021 - II,16/12/2021,33 %
VEGUETA,2021 - II,17/12/2021,72 %
VEGUETA,2021 - II,18/12/2021,53 %
VEGUETA,2021 - II,19/12/2021,71 %
VEGUETA,2021 - II,20/12/2021,72 %
VEGUETA,2022 - I,04/05/2022,6 %
VEGUETA,2022 - I,05/05/2022,18 %
VEGUETA,2022 - I,06/05/2022,0 %
VEGUETA,2022 - I,07/05/2022,0 %
VEGUETA,2022 - I,08/05/2022,24 %
VEGUETA,2022 - I,10/05/2022,91 %
VEGUETA,2022 - I,11/05/2022,52 %
VEGUETA,2022 - I,12/05/2022,0 %
VEGUETA,2022 - I,13/05/2022,12 %
VEGUETA,2022 - I,14/05/2022,0 %
VEGUETA,2022 - I,16/05/2022,46 %
VEGUETA,2022 - I,18/05/2022,21 %
VEGUETA,2022 - I,19/05/2022,17 %
VEGUETA,2022 - I,21/05/2022,8 %
VEGUETA,2022 - I,22/05/2022,20 %
VEGUETA,2022 - I,23/05/2022,0 %
VEGUETA,2022 - I,24/05/2022,87 %
VEGUETA,2022 - I,26/05/2022,50 %
VEGUETA,2022 - I,28/05/2022,60 %
VEGUETA,2022 - I,29/05/2022,63 %
VEGUETA,2022 - I,30/05/2022,94 %
VEGUETA,2022 - I,31/05/2022,58 %
VEGUETA,2022 - I,01/06/2022,69 %
VEGUETA,2022 - I,02/06/2022,67 %
VEGUETA,2022 - I,03/06/2022,65 %
VEGUETA,2022 - I,10/06/2022,100 %
VEGUETA,2022 - I,11/06/2022,85 %
VEGUETA,2022 - I,12/06/2022,78 %
VEGUETA,2022 - I,13/06/2022,87 %
VEGUETA,2022 - I,15/06/2022,93 %
VEGUETA,2022 - I,16/06/2022,47 %
VEGUETA,2022 - I,18/06/2022,73 %
VEGUETA,2022 - I,19/06/2022,15 %
VEGUETA,2022 - I,20/06/2022,74 %
VEGUETA,2022 - I,21/06/2022,37 %
VEGUETA,2022 - I,22/06/2022,76 %
VEGUETA,2022 - I,02/07/2022,60 %
VEGUETA,2022 - I,03/07/2022,94 %
VEGUETA,2022 - I,05/07/2022,77 %
VEGUETA,2022 - I,06/07/2022,93 %
VEGUETA,2022 - I,07/07/2022,43 %
VEGUETA,2022 - I,11/07/2022,25 %
VEGUETA,2022 - I,12/07/2022,0 %
VEGUETA,2022 - I,13/07/2022,19 %
VEGUETA,2022 - I,14/07/2022,68 %
VEGUETA,2022 - I,23/07/2022,24 %
VEGUETA,2022 - II,23/11/2022,100 %
VEGUETA,2022 - II,24/11/2022,100 %
VEGUETA,2022 - II,27/11/2022,43 %
VEGUETA,2022 - II,28/11/2022,85 %
VEGUETA,2022 - II,30/11/2022,98 %
VEGUETA,2022 - II,01/12/2022,88 %
VEGUETA,2022 - II,02/12/2022,73 %
VEGUETA,2022 - II,04/12/2022,48 %
VEGUETA,2022 - II,07/12/2022,38 %
VEGUETA,2022 - II,08/12/2022,0 %
VEGUETA,2022 - II,09/12/2022,42 %
VEGUETA,2022 - II,10/12/2022,100 %
VEGUETA,2022 - II,11/12/2022,88 %
VEGUETA,2022 - II,12/12/2022,50 %
VEGUETA,2022 - II,13/12/2022,100 %
VEGUETA,2022 - II,14/12/2022,42 %
VEGUETA,2022 - II,15/12/2022,21 %
VEGUETA,2022 - II,16/12/2022,0 %
VEGUETA,2022 - II,18/12/2022,27 %
VEGUETA,2022 - II,19/12/2022,0 %
VEGUETA,2022 - II,20/12/2022,39 %
VEGUETA,2022 - II,21/12/2022,40 %
VEGUETA,2022 - II,29/12/2022,83 %
VEGUETA,2022 - II,30/12/2022,73 %
VEGUETA,2022 - II,03/01/2023,95 %
VEGUETA,2022 - II,04/01/2023,0 %
VEGUETA,2022 - II,07/01/2023,59 %
VEGUETA,2022 - II,10/01/2023,0 %
VEGUETA,2022 - II,14/01/2023,56 %
VEGUETA,2023 - I,07/08/2023,40 %
VEGUETA,2023 - I,08/08/2023,35 %
VEGUETA,2023 - I,09/08/2023,0 %
VEGUETA,2023 - I,10/08/2023,16 %
VEGUETA,2023 - II,21/10/2023,32 %
VEGUETA,2023 - II,22/10/2023,0 %
VEGUETA,2023 - II,23/10/2023,16 %
VEGUETA,2023 - II,24/10/2023,72 %
VEGUETA,2023 - II,25/10/2023,59 %
VEGUETA,2023 - II,26/10/2023,55 %
VEGUETA,2023 - II,27/10/2023,0 %
VEGUETA,2023 - II,28/10/2023,80 %
VEGUETA,2023 - II,31/10/2023,55 %
VEGUETA,2023 - II,01/11/2023,5 %
VEGUETA,2023 - II,02/11/2023,8 %
VEGUETA,2023 - II,03/11/2023,0 %
VEGUETA,2023 - II,04/11/2023,0 %
VEGUETA,2023 - II,05/11/2023,15 %
VEGUETA,2023 - II,06/11/2023,14 %
VEGUETA,2023 - II,07/11/2023,17 %
VEGUETA,2023 - II,08/11/2023,12 %
VEGUETA,2023 - II,09/11/2023,0 %
VEGUETA,2023 - II,10/11/2023,11 %
VEGUETA,2023 - II,12/11/2023,41 %
VEGUETA,2023 - II,13/11/2023,5 %
VEGUETA,2023 - II,19/11/2023,100 %
VEGUETA,2023 - II,20/11/2023,100 %
VEGUETA,2023 - II,21/11/2023,64 %
VEGUETA,2023 - II,22/11/2023,55 %
VEGUETA,2023 - II,23/11/2023,85 %
VEGUETA,2023 - II,26/11/2023,80 %
VEGUETA,2023 - II,03/12/2023,100 %
VEGUETA,2023 - II,07/12/2023,100 %
VEGUETA,2023 - II,08/12/2023,97 %
VEGUETA,2023 - II,09/12/2023,100 %
VEGUETA,2023 - II,10/12/2023,100 %
VEGUETA,2023 - II,11/12/2023,92 %
VEGUETA,2024 - I,16/04/2024,48 %
VEGUETA,2024 - I,17/04/2024,11 %
VEGUETA,2024 - I,18/04/2024,12 %
VEGUETA,2024 - I,19/04/2024,35 %
VEGUETA,2024 - I,20/04/2024,0 %
VEGUETA,2024 - I,21/04/2024,6 %
VEGUETA,2024 - I,22/04/2024,10 %
VEGUETA,2024 - I,25/04/2024,82 %
VEGUETA,2024 - I,26/04/2024,42 %
VEGUETA,2024 - I,27/04/2024,33 %
VEGUETA,2024 - I,28/04/2024,95 %
VEGUETA,2024 - I,29/04/2024,74 %
VEGUETA,2024 - I,30/04/2024,54 %
VEGUETA,2024 - I,01/05/2024,17 %
VEGUETA,2024 - I,02/05/2024,50 %
VEGUETA,2024 - I,03/05/2024,0 %
VEGUETA,2024 - I,04/05/2024,0 %
VEGUETA,2024 - I,05/05/2024,7 %
VEGUETA,2024 - I,06/05/2024,0 %
VEGUETA,2024 - I,07/05/2024,47 %
VEGUETA,2024 - I,08/05/2024,17 %
VEGUETA,2024 - I,09/05/2024,19 %
VEGUETA,2024 - I,10/05/2024,25 %
VEGUETA,2024 - I,11/05/2024,0 %
VEGUETA,2024 - I,12/05/2024,30 %
VEGUETA,2024 - I,13/05/2024,64 %
VEGUETA,2024 - I,14/05/2024,42 %
VEGUETA,2024 - I,15/05/2024,78 %
VEGUETA,2024 - I,16/05/2024,57 %
VEGUETA,2024 - I,17/05/2024,59 %
VEGUETA,2024 - I,18/05/2024,100 %
VEGUETA,2024 - I,19/05/2024,94 %
VEGUETA,2024 - I,20/05/2024,100 %
VEGUETA,2024 - I,21/05/2024,91 %
VEGUETA,2024 - I,22/05/2024,90 %
VEGUETA,2024 - I,23/05/2024,71 %
VEGUETA,2024 - I,24/05/2024,84 %
VEGUETA,2024 - I,25/05/2024,79 %
VEGUETA,2024 - I,26/05/2024,11 %
VEGUETA,2024 - I,27/05/2024,34 %
VEGUETA,2024 - I,28/05/2024,93 %
VEGUETA,2024 - II,01/11/2024,58 %
VEGUETA,2024 - II,02/11/2024,63 %
VEGUETA,2024 - II,03/11/2024,81 %
VEGUETA,2024 - II,04/11/2024,56 %
VEGUETA,2024 - II,05/11/2024,89 %
VEGUETA,2024 - II,08/11/2024,77 %
VEGUETA,2024 - II,09/11/2024,100 %
VEGUETA,2024 - II,11/11/2024,71 %
VEGUETA,2024 - II,12/11/2024,81 %
VEGUETA,2024 - II,13/11/2024,83 %
VEGUETA,2024 - II,14/11/2024,70 %
VEGUETA,2024 - II,15/11/2024,5 %
VEGUETA,2024 - II,16/11/2024,0 %
VEGUETA,2024 - II,17/11/2024,91 %
VEGUETA,2024 - II,18/11/2024,44 %
VEGUETA,2024 - II,19/11/2024,65 %
VEGUETA,2024 - II,20/11/2024,73 %
VEGUETA,2024 - II,21/11/2024,19 %
VEGUETA,2024 - II,22/11/2024,22 %
VEGUETA,2024 - II,23/11/2024,76 %
VEGUETA,2024 - II,24/11/2024,67 %
VEGUETA,2024 - II,25/11/2024,0 %
VEGUETA,2024 - II,28/11/2024,0 %
VEGUETA,2024 - II,29/11/2024,27 %
VEGUETA,2024 - II,03/12/2024,52 %
VEGUETA,2024 - II,04/12/2024,61 %
VEGUETA,2024 - II,13/12/2024,16 %
VEGUETA,2024 - II,14/12/2024,0 %
VEGUETA,2024 - II,15/12/2024,18 %
CALLAO,2023 - II,,0 %
CALLAO,2021 - I,24/04/2021,40 %
CALLAO,2021 - I,25/04/2021,6 %
CALLAO,2021 - I,26/04/2021,0 %
CALLAO,2021 - I,27/04/2021,78 %
CALLAO,2021 - I,28/04/2021,56 %
CALLAO,2021 - I,29/04/2021,42 %
CALLAO,2021 - I,30/04/2021,26 %
CALLAO,2021 - I,01/05/2021,55 %
CALLAO,2021 - I,02/05/2021,46 %
CALLAO,2021 - I,03/05/2021,65 %
CALLAO,2021 - I,04/05/2021,3 %
CALLAO,2021 - I,05/05/2021,29 %
CALLAO,2021 - I,06/05/2021,0 %
CALLAO,2021 - I,10/05/2021,32 %
CALLAO,2021 - I,11/05/2021,30 %
CALLAO,2021 - I,12/05/2021,36 %
CALLAO,2021 - I,13/05/2021,39 %
CALLAO,2021 - I,14/05/2021,55 %
CALLAO,2021 - I,15/05/2021,40 %
CALLAO,2021 - I,16/05/2021,0 %
CALLAO,2021 - I,17/05/2021,0 %
CALLAO,2021 - I,18/05/2021,0 %
CALLAO,2021 - I,21/05/2021,30 %
CALLAO,2021 - I,22/05/2021,61 %
CALLAO,2021 - I,23/05/2021,69 %
CALLAO,2021 - I,24/05/2021,70 %
CALLAO,2021 - I,25/05/2021,32 %
CALLAO,2021 - I,26/05/2021,100 %
CALLAO,2021 - I,28/05/2021,0 %
CALLAO,2021 - I,29/05/2021,100 %
CALLAO,2021 - I,30/05/2021,100 %
CALLAO,2021 - I,01/06/2021,0 %
CALLAO,2021 - I,02/06/2021,100 %
CALLAO,2021 - I,03/06/2021,87 %
CALLAO,2021 - I,04/06/2021,43 %
CALLAO,2021 - I,05/06/2021,66 %
CALLAO,2021 - I,06/06/2021,85 %
CALLAO,2021 - I,07/06/2021,50 %
CALLAO,2021 - I,08/06/2021,72 %
CALLAO,2021 - I,09/06/2021,53 %
CALLAO,2021 - I,10/06/2021,0 %
CALLAO,2021 - I,11/06/2021,100 %
CALLAO,2021 - I,12/06/2021,76 %
CALLAO,2021 - I,13/06/2021,100 %
CALLAO,2021 - I,15/06/2021,61 %
CALLAO,2021 - I,19/06/2021,73 %
CALLAO,2021 - I,22/06/2021,100 %
CALLAO,2021 - II,15/11/2021,7 %
CALLAO,2021 - II,16/11/2021,36 %
CALLAO,2021 - II,17/11/2021,23 %
CALLAO,2021 - II,18/11/2021,47 %
CALLAO,2021 - II,19/11/2021,55 %
CALLAO,2021 - II,20/11/2021,89 %
CALLAO,2021 - II,21/11/2021,95 %
CALLAO,2021 - II,22/11/2021,81 %
CALLAO,2021 - II,23/11/2021,90 %
CALLAO,2021 - II,24/11/2021,85 %
CALLAO,2021 - II,27/11/2021,92 %
CALLAO,2021 - II,28/11/2021,97 %
CALLAO,2021 - II,29/11/2021,83 %
CALLAO,2021 - II,30/11/2021,100 %
CALLAO,2021 - II,01/12/2021,86 %
CALLAO,2021 - II,03/12/2021,69 %
CALLAO,2021 - II,04/12/2021,93 %
CALLAO,2021 - II,06/12/2021,77 %
CALLAO,2021 - II,07/12/2021,89 %
