PLANTA,TEMPORADA,Fecha_Batch,DESCARG,TDC_POND,JUVX2,Munida_pond
Malabrigo,2026 - I,10/04/26,815,5.1,72.2 %,0.3
Malabrigo,2026 - I,11/04/26,806,6.4,58.2 %,0.3
Malabrigo,2026 - I,12/04/26,"1,705",7.8,72.7 %,0.4
Malabrigo,2026 - I,13/04/26,"1,453",8.6,81.0 %,2.3
Malabrigo,2026 - I,14/04/26,643,8.2,35.7 %,0.3
Malabrigo,2026 - I,17/04/26,"2,024",11.6,82.3 %,5.0
Malabrigo,2026 - I,18/04/26,"2,193",11.4,82.9 %,13.6
Malabrigo,2026 - I,19/04/26,"3,974",14.4,71.5 %,0.8
Malabrigo,2026 - I,20/04/26,"1,344",8.1,48.8 %,0.3
Malabrigo,2026 - I,21/04/26,"2,151",10.4,50.2 %,0.0
Malabrigo,2026 - I,22/04/26,22,10.2,87.5 %,0.0
Malabrigo,2026 - I,24/04/26,85,16.1,88.5 %,0.0
Malabrigo,2026 - I,7/05/26,443,7.2,75.6 %,0.1
Malabrigo,2026 - I,8/05/26,380,9.9,78.8 %,0.1
Malabrigo,2026 - I,9/05/26,90,4.7,96.3 %,4.1
Chimbote,2025 - I,22/04/25,"2,475",13.7,14.0 %,0.1
Chimbote,2025 - I,23/04/25,"3,946",16.9,67.9 %,7.4
Chimbote,2025 - I,24/04/25,"3,298",13.3,34.1 %,19.2
Chimbote,2025 - I,25/04/25,"3,894",10.1,21.8 %,3.3
Chimbote,2025 - I,26/04/25,"3,144",11.8,27.2 %,54.2
Chimbote,2025 - I,28/04/25,"2,767",9.4,17.8 %,1.8
Chimbote,2025 - I,29/04/25,"4,154",10.4,51.2 %,1.2
Chimbote,2025 - I,30/04/25,"3,405",13.7,51.9 %,5.1
Chimbote,2025 - I,1/05/25,"3,587",16.5,68.1 %,0.8
Chimbote,2025 - I,2/05/25,"3,950",14.4,46.4 %,3.8
Chimbote,2025 - I,3/05/25,"2,942",9.7,58.9 %,2.3
Chimbote,2025 - I,4/05/25,"4,440",13.1,54.2 %,0.8
Chimbote,2025 - I,5/05/25,"4,315",19.8,39.9 %,0.6
Chimbote,2025 - I,6/05/25,"2,041",13.6,27.4 %,0.0
Chimbote,2025 - I,7/05/25,"4,827",16.5,13.9 %,0.0
Chimbote,2025 - I,8/05/25,"2,783",13.9,23.8 %,0.0
Chimbote,2025 - I,9/05/25,"5,000",16.1,11.1 %,0.0
Chimbote,2025 - I,10/05/25,"3,342",13.8,25.4 %,1.8
Chimbote,2025 - I,11/05/25,"3,473",10.4,24.1 %,1.9
Chimbote,2025 - I,12/05/25,"3,924",16.8,25.5 %,0.4
Chimbote,2025 - I,13/05/25,"2,479",13.3,29.9 %,0.5
Chimbote,2025 - I,14/05/25,"4,797",17.9,25.0 %,0.1
Chimbote,2025 - I,15/05/25,"2,336",16.4,15.7 %,0.0
Chimbote,2025 - I,16/05/25,"2,307",19.3,11.9 %,0.1
Chimbote,2025 - I,17/05/25,"3,811",9.6,25.2 %,9.5
Chimbote,2025 - I,18/05/25,"3,593",14.0,28.5 %,17.8
Chimbote,2025 - I,19/05/25,"1,763",12.0,7.3 %,4.9
Chimbote,2025 - I,20/05/25,"3,022",14.0,9.4 %,1.4
Chimbote,2025 - I,21/05/25,"1,399",16.7,32.2 %,1.5
Chimbote,2025 - I,22/05/25,605,15.5,11.2 %,0.2
Chimbote,2025 - I,23/05/25,"1,431",8.2,40.9 %,4.1
Chimbote,2025 - I,27/05/25,"2,840",10.7,27.3 %,5.9
Chimbote,2025 - I,28/05/25,"1,193",7.8,54.1 %,13.2
Chimbote,2025 - I,31/05/25,"3,287",9.9,60.5 %,15.3
Chimbote,2025 - I,2/06/25,546,9.4,57.0 %,15.8
Chimbote,2025 - I,3/06/25,"3,040",10.6,62.8 %,9.5
Chimbote,2025 - I,4/06/25,"2,369",9.9,60.5 %,14.7
Chimbote,2025 - I,11/06/25,926,7.4,63.4 %,0.5
Chimbote,2025 - I,12/06/25,109,6.6,83.3 %,10.4
Chimbote,2025 - I,26/06/25,813,12.8,69.1 %,1.2
Chimbote,2025 - I,1/07/25,"2,009",12.5,66.2 %,5.4
Chimbote,2025 - I,2/07/25,"1,423",16.5,63.3 %,10.5
Chimbote,2025 - I,3/07/25,469,9.4,52.0 %,9.4
Chimbote,2025 - I,4/07/25,156,9.9,53.2 %,0.7
Chimbote,2025 - I,7/07/25,87,9.3,87.1 %,3.6
Chimbote,2025 - I,15/07/25,"1,278",15.2,85.5 %,9.3
Chimbote,2025 - I,16/07/25,"1,277",13.0,87.9 %,17.8
Chimbote,2025 - I,17/07/25,165,22.6,84.9 %,6.7
Chimbote,2025 - I,18/07/25,268,9.8,77.7 %,5.0
Chimbote,2025 - I,19/07/25,197,17.8,70.5 %,2.9
Chimbote,2025 - I,20/07/25,"1,522",30.2,59.4 %,2.7
Chimbote,2025 - I,22/07/25,780,13.0,78.2 %,2.6
Chimbote,2025 - I,23/07/25,688,14.6,82.2 %,0.8
Chimbote,2025 - II,7/11/25,505,14.1,14.4 %,1.9
Chimbote,2025 - II,8/11/25,"2,633",15.8,11.6 %,0.3
Chimbote,2025 - II,9/11/25,"1,469",14.0,12.0 %,0.0
Chimbote,2025 - II,10/11/25,"2,204",18.8,10.4 %,0.0
Chimbote,2025 - II,11/11/25,"2,175",18.0,12.3 %,1.4
Chimbote,2025 - II,12/11/25,"3,271",16.1,14.0 %,0.1
