PLANTA,TEMPORADA,F. BATCH,%SP+P,ANO,MES,%SP+P ANTERIOR
CALLAO,2021 - II,2021-12-31,0.73,2021,12,
CALLAO,2021 - II,2022-01-01,0.49,2022,1,0.73
CALLAO,2021 - II,2022-01-02,0.66,2022,1,0.49
CALLAO,2021 - II,2022-01-03,0.0,2022,1,0.66
CALLAO,2022 - I,2022-05-04,0.63,2022,5,
CALLAO,2022 - I,2022-05-05,0.72,2022,5,0.63
CALLAO,2022 - I,2022-05-06,0.86,2022,5,0.72
CALLAO,2022 - I,2022-05-07,0.72,2022,5,0.86
CALLAO,2022 - I,2022-05-08,0.49,2022,5,0.72
CALLAO,2022 - I,2022-05-09,0.83,2022,5,0.49
CALLAO,2022 - I,2022-05-10,0.42,2022,5,0.83
CALLAO,2022 - I,2022-05-11,0.57,2022,5,0.42
CALLAO,2022 - I,2022-05-12,0.03,2022,5,0.57
CALLAO,2022 - I,2022-05-18,0.12,2022,5,
CALLAO,2022 - I,2022-05-19,0.59,2022,5,0.12
CALLAO,2022 - I,2022-05-20,0.0,2022,5,0.59
CALLAO,2022 - I,2022-05-21,1.0,2022,5,0.0
CALLAO,2022 - I,2022-05-22,0.46,2022,5,1.0
CALLAO,2022 - I,2022-05-23,0.18,2022,5,0.46
CALLAO,2022 - I,2022-05-24,0.0,2022,5,0.18
CALLAO,2022 - I,2022-05-25,0.0,2022,5,0.0
CALLAO,2022 - I,2022-05-26,0.0,2022,5,0.0
CALLAO,2022 - I,2022-05-27,0.0,2022,5,0.0
CALLAO,2022 - I,2022-05-28,0.4,2022,5,0.0
CALLAO,2022 - I,2022-05-29,0.25,2022,5,0.4
CALLAO,2022 - I,2022-05-30,0.65,2022,5,0.25
CALLAO,2022 - I,2022-05-31,0.57,2022,5,0.65
CALLAO,2022 - I,2022-06-01,0.71,2022,6,0.57
CALLAO,2022 - I,2022-06-02,0.52,2022,6,0.71
CALLAO,2022 - I,2022-06-09,0.45,2022,6,
CALLAO,2022 - I,2022-06-10,0.78,2022,6,0.45
CALLAO,2022 - I,2022-06-11,0.81,2022,6,0.78
CALLAO,2022 - I,2022-06-12,0.92,2022,6,0.81
CALLAO,2022 - I,2022-06-13,0.78,2022,6,0.92
CALLAO,2022 - I,2022-06-14,0.41,2022,6,0.78
CALLAO,2022 - I,2022-06-16,0.02,2022,6,
CALLAO,2022 - I,2022-06-20,0.89,2022,6,
CALLAO,2022 - I,2022-06-21,0.75,2022,6,0.89
CALLAO,2022 - I,2022-06-22,0.85,2022,6,0.75
CALLAO,2022 - I,2022-07-01,1.0,2022,7,
CALLAO,2022 - I,2022-07-02,0.79,2022,7,1.0
CALLAO,2022 - I,2022-07-03,0.66,2022,7,0.79
CALLAO,2022 - I,2022-07-04,0.91,2022,7,0.66
CALLAO,2022 - I,2022-07-05,0.54,2022,7,0.91
CALLAO,2022 - I,2022-07-12,0.54,2022,7,
CALLAO,2022 - I,2022-07-13,0.58,2022,7,0.54
CALLAO,2022 - I,2022-07-14,0.83,2022,7,0.58
CALLAO,2022 - I,2022-07-19,0.68,2022,7,
CALLAO,2022 - I,2022-07-20,0.5,2022,7,0.68
CALLAO,2022 - I,2022-07-21,0.87,2022,7,0.5
CALLAO,2022 - I,2022-07-22,0.86,2022,7,0.87
CALLAO,2022 - I,2022-07-23,0.83,2022,7,0.86
CALLAO,2022 - II,2022-11-23,1.0,2022,11,
CALLAO,2022 - II,2022-11-24,0.66,2022,11,1.0
CALLAO,2022 - II,2022-11-25,1.0,2022,11,0.66
