PLANTA,TEMPORADA,Fecha_Batch,DESCARG,TDC_POND,JUVX2,Munida_pond
Malabrigo,2021 - I,11/05/21,"2,828",25.7,14.8 %,2.9
Malabrigo,2021 - I,12/05/21,"1,584",27.5,5.8 %,9.2
Malabrigo,2021 - I,13/05/21,"2,216",13.5,0.9 %,0.3
Malabrigo,2021 - I,14/05/21,"3,375",18.3,2.6 %,0.0
Malabrigo,2021 - I,22/05/21,713,6.6,30.8 %,0.7
Malabrigo,2021 - I,24/05/21,"1,424",20.0,7.4 %,0.3
Malabrigo,2021 - I,25/05/21,"2,370",16.1,5.7 %,0.4
Malabrigo,2021 - I,26/05/21,"2,796",25.2,8.8 %,0.0
Malabrigo,2021 - I,27/05/21,"3,274",16.3,16.0 %,0.0
Malabrigo,2021 - I,28/05/21,"3,907",20.3,9.8 %,0.0
Malabrigo,2021 - I,29/05/21,"3,761",21.1,34.9 %,0.0
Malabrigo,2021 - I,30/05/21,322,11.8,33.1 %,0.0
Malabrigo,2021 - I,31/05/21,"2,688",12.2,20.3 %,0.0
Malabrigo,2021 - I,1/06/21,"1,635",25.2,14.7 %,0.0
Malabrigo,2021 - I,3/06/21,"1,699",13.0,14.9 %,0.0
Malabrigo,2021 - I,4/06/21,"3,921",16.0,16.2 %,0.0
Malabrigo,2021 - I,5/06/21,"2,690",19.2,15.5 %,0.0
Malabrigo,2021 - I,6/06/21,"3,462",13.8,9.3 %,0.0
Malabrigo,2021 - I,7/06/21,"3,473",15.8,18.8 %,0.0
Malabrigo,2021 - I,8/06/21,"3,743",16.1,12.2 %,0.0
Malabrigo,2021 - I,9/06/21,"1,904",24.0,19.3 %,0.1
Malabrigo,2021 - I,10/06/21,"1,872",15.9,21.4 %,0.0
Malabrigo,2021 - I,12/06/21,626,29.4,4.6 %,0.0
Malabrigo,2021 - I,13/06/21,"3,009",12.7,4.4 %,0.0
Malabrigo,2021 - I,14/06/21,"2,971",15.7,8.6 %,0.0
Malabrigo,2021 - I,15/06/21,"2,872",20.0,13.5 %,0.0
Malabrigo,2021 - I,16/06/21,"3,225",14.7,7.3 %,0.0
Malabrigo,2021 - I,17/06/21,"3,241",17.1,14.9 %,0.0
Malabrigo,2021 - I,18/06/21,"3,488",23.5,20.8 %,0.0
Malabrigo,2021 - I,19/06/21,"1,462",19.1,39.4 %,0.0
Malabrigo,2021 - I,21/06/21,"2,443",52.0,33.1 %,0.0
Malabrigo,2021 - I,23/06/21,"1,012",31.6,12.8 %,0.0
Malabrigo,2021 - I,24/06/21,"2,242",20.0,15.1 %,0.0
Malabrigo,2021 - I,25/06/21,832,16.4,6.2 %,0.8
Malabrigo,2021 - I,27/06/21,"2,058",17.9,14.8 %,0.0
Malabrigo,2021 - I,28/06/21,"3,040",24.4,6.1 %,0.5
Malabrigo,2021 - I,29/06/21,"1,904",16.1,2.7 %,0.0
Malabrigo,2021 - I,30/06/21,519,11.7,3.9 %,0.0
Malabrigo,2021 - I,1/07/21,974,28.3,2.7 %,1.5
Malabrigo,2021 - I,3/07/21,"1,515",15.0,0.0 %,0.0
Malabrigo,2021 - I,5/07/21,587,26.2,0.0 %,0.0
Malabrigo,2021 - II,15/11/21,"1,735",13.0,0.0 %,0.0
Malabrigo,2021 - II,16/11/21,"1,320",11.8,9.0 %,0.0
Malabrigo,2021 - II,17/11/21,"3,940",21.9,0.3 %,0.0
Malabrigo,2021 - II,18/11/21,"3,980",17.8,2.9 %,0.0
Malabrigo,2021 - II,19/11/21,"3,378",14.6,0.3 %,0.0
Malabrigo,2021 - II,20/11/21,"2,152",15.7,1.6 %,0.0
Malabrigo,2021 - II,21/11/21,"3,052",21.2,0.0 %,0.0
Malabrigo,2021 - II,22/11/21,"1,639",23.6,3.5 %,0.0
Malabrigo,2021 - II,23/11/21,"2,166",19.8,0.4 %,0.0
Malabrigo,2021 - II,24/11/21,"3,731",14.3,8.2 %,0.0
Malabrigo,2021 - II,25/11/21,"4,033",17.4,7.0 %,0.0
Malabrigo,2021 - II,26/11/21,"3,693",17.9,6.1 %,0.0
Malabrigo,2021 - II,27/11/21,"3,169",17.5,8.2 %,0.0
Malabrigo,2021 - II,28/11/21,"2,256",18.3,0.9 %,1.4
Malabrigo,2021 - II,4/12/21,"1,439",13.4,0.1 %,0.0
Malabrigo,2021 - II,5/12/21,"2,305",20.7,3.8 %,0.0
Malabrigo,2021 - II,14/12/21,"1,257",6.5,2.6 %,0.1
Malabrigo,2021 - II,15/12/21,"3,034",12.8,1.0 %,0.0
Malabrigo,2021 - II,16/12/21,"2,325",8.3,1.9 %,0.3
Malabrigo,2021 - II,17/12/21,"3,147",9.2,0.0 %,1.4
Malabrigo,2021 - II,18/12/21,"3,459",11.5,0.3 %,0.5
Malabrigo,2021 - II,19/12/21,"4,277",15.8,1.6 %,0.9
Malabrigo,2021 - II,20/12/21,239,5.4,0.0 %,0.0
Malabrigo,2021 - II,21/12/21,933,12.6,0.0 %,0.0
Malabrigo,2021 - II,22/12/21,"1,310",11.5,0.0 %,0.0
Malabrigo,2021 - II,23/12/21,268,12.8,0.7 %,0.3
Malabrigo,2022 - I,12/05/22,142,12.6,48.9 %,0.4
Malabrigo,2022 - I,13/05/22,221,11.7,64.7 %,0.0
Malabrigo,2022 - I,15/05/22,792,18.3,29.3 %,0.0
Malabrigo,2022 - I,21/05/22,451,11.1,31.1 %,0.0
Malabrigo,2022 - I,22/05/22,439,12.0,32.1 %,4.6
Malabrigo,2022 - I,26/05/22,"3,049",20.6,14.6 %,0.0
Malabrigo,2022 - I,28/05/22,"3,969",20.4,31.4 %,1.1
Malabrigo,2022 - I,29/05/22,"2,165",11.5,37.9 %,0.8
Malabrigo,2022 - I,30/05/22,"3,089",24.6,34.4 %,0.1
Malabrigo,2022 - I,3/06/22,601,34.2,22.7 %,0.0
Malabrigo,2022 - I,4/06/22,"3,280",21.1,44.9 %,0.0
Malabrigo,2022 - I,5/06/22,"1,460",23.6,28.4 %,1.6
Malabrigo,2022 - I,6/06/22,"2,365",18.5,3.3 %,15.2
Malabrigo,2022 - I,7/06/22,"2,602",15.7,9.9 %,0.3
Malabrigo,2022 - I,8/06/22,"3,858",13.1,33.5 %,0.0
Malabrigo,2022 - I,9/06/22,"1,157",20.6,50.9 %,1.1
Malabrigo,2022 - I,10/06/22,250,9.1,69.7 %,0.0
Malabrigo,2022 - I,11/06/22,"3,923",25.2,2.0 %,2.9
Malabrigo,2022 - I,12/06/22,"1,954",14.8,9.8 %,2.5
Malabrigo,2022 - I,13/06/22,"1,109",19.2,29.4 %,4.2
Malabrigo,2022 - I,17/06/22,"3,995",19.1,32.0 %,1.9
Malabrigo,2022 - I,18/06/22,"3,920",13.7,52.5 %,0.0
Malabrigo,2022 - I,19/06/22,"1,369",6.3,78.6 %,2.4
Malabrigo,2022 - I,20/06/22,153,8.6,87.7 %,0.0
Malabrigo,2022 - I,24/06/22,630,12.6,0.0 %,0.0
Malabrigo,2022 - II,,43,5.2,1.6 %,14.9
Malabrigo,2022 - II,24/11/22,"1,269",14.6,24.5 %,2.9
Malabrigo,2022 - II,25/11/22,"1,204",12.5,9.9 %,1.8
Malabrigo,2022 - II,26/11/22,"1,612",19.8,13.3 %,5.6
Malabrigo,2022 - II,27/11/22,"4,435",11.9,30.9 %,0.1
Malabrigo,2022 - II,28/11/22,"4,119",11.7,8.9 %,0.0
Malabrigo,2022 - II,30/11/22,"2,455",17.7,26.1 %,0.0
Malabrigo,2022 - II,1/12/22,"3,410",12.7,16.3 %,0.1
Malabrigo,2022 - II,2/12/22,"1,581",25.4,4.5 %,0.0
Malabrigo,2022 - II,3/12/22,"1,220",28.9,1.0 %,0.0
Malabrigo,2022 - II,4/12/22,"4,048",10.2,9.7 %,0.0
Malabrigo,2022 - II,5/12/22,"2,558",11.4,5.7 %,0.0
Malabrigo,2022 - II,6/12/22,"4,656",13.8,6.5 %,0.4
Malabrigo,2022 - II,7/12/22,"4,170",13.2,4.8 %,0.2
Malabrigo,2022 - II,8/12/22,"2,006",14.7,5.7 %,10.2
Malabrigo,2022 - II,9/12/22,"2,165",10.8,3.3 %,2.3
Malabrigo,2022 - II,10/12/22,"4,252",16.4,6.2 %,2.4
Malabrigo,2022 - II,11/12/22,"5,040",16.2,18.2 %,0.0
Malabrigo,2022 - II,12/12/22,"3,209",14.4,17.7 %,0.0
Malabrigo,2022 - II,13/12/22,"4,384",14.6,9.8 %,0.0
Malabrigo,2022 - II,15/12/22,"3,658",25.5,23.7 %,0.0
Malabrigo,2022 - II,16/12/22,"1,294",13.5,10.2 %,0.0
Malabrigo,2022 - II,17/12/22,50,4.7,5.2 %,0.0
Malabrigo,2022 - II,18/12/22,428,5.2,2.6 %,0.0
Malabrigo,2022 - II,21/12/22,"4,186",10.3,8.4 %,0.1
Malabrigo,2022 - II,22/12/22,914,9.6,6.1 %,1.5
Malabrigo,2022 - II,23/12/22,910,9.0,8.1 %,0.3
Malabrigo,2022 - II,25/12/22,"1,221",10.4,1.7 %,0.3
Malabrigo,2022 - II,26/12/22,"1,195",7.9,1.1 %,1.1
Malabrigo,2022 - II,27/12/22,"2,075",13.1,7.3 %,0.0
Malabrigo,2022 - II,28/12/22,274,4.3,0.2 %,6.0
Malabrigo,2022 - II,29/12/22,812,7.0,3.2 %,5.2
Malabrigo,2022 - II,30/12/22,434,8.8,58.5 %,5.1
Malabrigo,2022 - II,31/12/22,"2,268",18.2,24.8 %,16.0
Malabrigo,2022 - II,1/01/23,"2,996",22.1,13.3 %,9.3
Malabrigo,2022 - II,2/01/23,"1,286",29.3,18.9 %,10.7
Malabrigo,2022 - II,3/01/23,"3,943",33.0,25.0 %,12.9
Malabrigo,2022 - II,4/01/23,"3,245",26.6,38.3 %,11.1
Malabrigo,2022 - II,5/01/23,"4,215",23.1,19.0 %,11.4
Malabrigo,2022 - II,6/01/23,770,28.4,20.3 %,10.4
Malabrigo,2022 - II,7/01/23,602,16.0,20.9 %,20.4
Malabrigo,2022 - II,8/01/23,"2,219",28.9,16.5 %,17.1
Malabrigo,2022 - II,9/01/23,460,12.9,7.9 %,9.1
Malabrigo,2022 - II,10/01/23,"2,016",28.9,36.9 %,13.4
Malabrigo,2022 - II,13/01/23,64,4.9,4.3 %,3.3
Malabrigo,2022 - II,14/01/23,"3,728",14.0,24.4 %,1.5
Malabrigo,2022 - II,15/01/23,"1,700",15.0,35.1 %,13.7
Malabrigo,2022 - II,16/01/23,"1,878",27.7,64.2 %,15.6
Malabrigo,2022 - II,19/01/23,"3,218",30.9,18.4 %,0.2
Malabrigo,2022 - II,22/01/23,"3,637",28.9,22.8 %,4.6
Malabrigo,2022 - II,23/01/23,626,39.4,37.4 %,2.5
Malabrigo,2022 - II,24/01/23,"1,603",20.5,22.6 %,0.7
Malabrigo,2022 - II,26/01/23,"3,409",29.7,20.5 %,4.3
Malabrigo,2022 - II,27/01/23,749,13.0,4.2 %,0.0
Malabrigo,2022 - II,28/01/23,273,13.8,13.5 %,0.0
Malabrigo,2022 - II,29/01/23,"2,185",16.6,8.6 %,0.5
Malabrigo,2022 - II,30/01/23,"3,079",17.1,3.1 %,2.4
Malabrigo,2022 - II,31/01/23,"2,625",29.7,22.8 %,1.6
Malabrigo,2022 - II,1/02/23,"2,052",14.5,25.0 %,4.6
Malabrigo,2022 - II,2/02/23,"2,391",20.2,20.3 %,3.1
Malabrigo,2022 - II,3/02/23,"1,166",6.3,19.6 %,0.1
Malabrigo,2022 - II,4/02/23,312,16.0,46.3 %,0.6
Malabrigo,2023 - I,3/06/23,97,8.4,83.0 %,0.0
Malabrigo,2023 - I,4/06/23,472,15.9,89.2 %,0.0
Malabrigo,2023 - I,5/06/23,"3,558",25.2,90.3 %,0.0
Malabrigo,2023 - I,4/08/23,484,8.9,69.6 %,0.4
Malabrigo,2023 - I,5/08/23,"1,797",22.9,69.7 %,0.0
Malabrigo,2023 - I,6/08/23,"2,226",24.5,79.7 %,0.0
Malabrigo,2023 - I,7/08/23,"3,828",17.0,52.1 %,0.0
Malabrigo,2023 - I,8/08/23,"2,892",24.7,48.4 %,0.0
Malabrigo,2023 - I,9/08/23,"1,647",18.6,45.2 %,0.0
Malabrigo,2023 - I,10/08/23,94,31.1,,0.0
Malabrigo,2023 - I,11/08/23,"3,120",24.4,81.3 %,0.0
